Country,Year
Argentina,2011
Australia,2013
Austria,2008
Bolivia,2014
Brazil,2014
Canada,2006
Chile,2013
Colombia,2014
Ecuador,2013
France,2012
Germany,2013
Ireland,2011
Italy,2013
Mexico,2012
Netherlands,2012
Norway,2013
Paraguay,2013
Peru,2011
Portugal,2011
Spain,2011
Sweden,2014
Switzerland,2011
UK,2010
Uruguay,2014
US,2012
Venezuela,2013
