countryname,year,v2xps_party,PI_7,normalPS,avg_psi,avg_pi7,avg_nps
Albania,2010,0.573523096742531,0.28148227239927415,0.5793029415675803,0.7169616776696097,0.35661493366465724,0.6097515819915531
Albania,2011,0.573523096742531,0.28148227239927415,0.5793029415675803,0.712978448085577,0.34495222471416315,0.6050250938674507
Albania,2012,0.573523096742531,0.28148227239927415,0.5793029415675803,0.7127343732818799,0.3420047506694103,0.6038305857023443
Albania,2013,0.363904054965953,-0.14518737808132137,0.40638865171676203,0.6811671282217567,0.31201947834463,0.5916786033333556
Albania,2014,0.363842709036255,-0.14518737808132137,0.40638865171676203,0.6867194825909015,0.2965003119027802,0.5853892278379426
Argentina,1937,0.608735660388933,0.3250143755031089,0.5969449807551193,0.7753038017745705,0.42868844687790814,0.6389604566801681
Argentina,1938,0.608735660388933,0.3250143755031089,0.5969449807551193,0.7735916926457385,0.427126855067844,0.6383275981242105
Argentina,1939,0.608735660388933,0.3250143755031089,0.5969449807551193,0.770653398725942,0.4202431427441454,0.6355378702243025
Argentina,1940,0.608735660388933,0.3250143755031089,0.5969449807551193,0.7250431612433944,0.3226432632667347,0.595984051877128
Argentina,1941,0.608735660388933,0.3250143755031089,0.5969449807551193,0.7721093090088857,0.37504762877906533,0.6172217087797004
Argentina,1942,0.608735660388933,0.3250143755031089,0.5969449807551193,0.7721093090088857,0.37504762877906533,0.6172217087797004
Argentina,1973,0.817434513220048,0.51986244576938,0.6759100903216055,0.7982102325010736,0.5389858330850777,0.6836601305072887
Argentina,1974,0.817434513220048,0.51986244576938,0.6759100903216055,0.7999745178445872,0.5285276056504645,0.679421776624097
Argentina,1975,0.817434513220048,0.51986244576938,0.6759100903216055,0.7784520961319931,0.4946642561660186,0.6656981451882132
Argentina,1983,0.82921293172198,0.5350233678128327,0.6820542818891904,0.7685239146882604,0.4895556210590376,0.6636277940145696
Argentina,1984,0.857063983804675,0.6221605424417966,0.7173679318139096,0.7765298304372399,0.5022345435061268,0.6687661179345921
Argentina,1985,0.857063983804675,0.6221605424417966,0.7173679318139096,0.7831634218008411,0.48619490809327254,0.6622658145646295
Argentina,1986,0.857063983804675,0.6221605424417966,0.7173679318139096,0.7812158763266057,0.47950515402574817,0.659554691163751
