countryname,year,v2xps_party,PI_7,normalPS,avg_psi,avg_pi7,avg_nps
Spain,1934,0.58800995349884,0.0962477804259558,0.5740440933190716,0.8070647243191214,0.4586703540619366,0.6908167600772269
Spain,1935,0.58800995349884,0.0962477804259558,0.5740440933190716,0.809731001363081,0.4645693790939311,0.6927174277904665
Spain,1936,0.58800995349884,0.0962477804259558,0.5740440933190716,0.8275099452584981,0.4996100289010017,0.7040075361351528
Spain,1937,0.557605147361755,0.0597413057328993,0.5622816957369356,0.8266126979142427,0.5050779848613577,0.7057693132584736
Spain,1938,0.557605147361755,0.0597413057328993,0.5622816957369356,0.8249595034867524,0.5056019654054661,0.7059381399539277
Spain,1939,0.503697216510773,0.274445361873156,0.631459409883606,0.8338865293906285,0.5267956039139127,0.712766736920477
Spain,1940,0.140585988759995,0.155863487437244,0.5932522927933491,0.8006032870875465,0.45843913466468,0.6907422611149989
Spain,1941,0.140585988759995,0.155863487437244,0.5932522927933491,0.800874971681171,0.45856214538120954,0.6907818952063991
Spain,1942,0.140585988759995,0.155863487437244,0.5932522927933491,0.800874971681171,0.45739435446411153,0.6904056326070875
Spain,1943,0.140585988759995,0.155863487437244,0.5932522927933491,0.800874971681171,0.45972993629830733,0.6911581578057107
Spain,1944,0.140585988759995,0.155863487437244,0.5932522927933491,0.7650154580672582,0.3883616483497485,0.6681632730718262
Spain,1945,0.140585988759995,0.155863487437244,0.5932522927933491,0.8193241637200117,0.5102378982668732,0.7074318389741272
Spain,1946,0.140585988759995,0.155863487437244,0.5932522927933491,0.8297967493534089,0.5307149039275812,0.7140295366126425
Spain,1947,0.140585988759995,0.155863487437244,0.5932522927933491,0.8586679775463908,0.5527299016318314,0.721122775769379
Spain,1948,0.140585988759995,0.155863487437244,0.5932522927933491,0.8568581683295113,0.5563150399757525,0.7222779084668722
Spain,1949,0.140585988759995,0.155863487437244,0.5932522927933491,0.8633105292916298,0.5605254313634562,0.7236344978909393
Spain,1950,0.140585988759995,0.155863487437244,0.5932522927933491,0.8700778511437502,0.5838849995131691,0.7311609580664046
Spain,1951,0.140585988759995,0.155863487437244,0.5932522927933491,0.8698629140853882,0.5820931933098152,0.730583637546382
Spain,1952,0.140585988759995,0.155863487437244,0.5932522927933491,0.8679058973987896,0.5637573716158472,0.7246758300526985
Spain,1953,0.140585988759995,0.155863487437244,0.5932522927933491,0.8688361470897993,0.5642886696754648,0.724847014453942
Spain,1954,0.140585988759995,0.155863487437244,0.5932522927933491,0.8615708276629448,0.5703185050386941,0.7267898292968832
Spain,1955,0.140585988759995,0.155863487437244,0.5932522927933491,0.8691782727837563,0.5721126649043847,0.727367908167648
Spain,1956,0.140585988759995,0.155863487437244,0.5932522927933491,0.8360949181593381,0.5257785125177507,0.7124390297540191
Spain,1957,0.140585988759995,0.155863487437244,0.5932522927933491,0.8128059002859839,0.46988622167202165,0.6944305161346835
Spain,1958,0.140585988759995,0.155863487437244,0.5932522927933491,0.8262753210685871,0.46792828521158464,0.6937996683937867
Spain,1959,0.140585988759995,0.155863487437244,0.5932522927933491,0.820348427764007,0.4606734503768593,0.6914621583373858
Spain,1960,0.140585988759995,0.155863487437244,0.5932522927933491,0.8074712109181189,0.41105913594427107,0.6754764106850056
Spain,1961,0.140585988759995,0.155863487437244,0.5932522927933491,0.802793096630804,0.41540655313596875,0.6768771498660442
Spain,1962,0.140585988759995,0.155863487437244,0.5932522927933491,0.7752683955956908,0.3679826230825017,0.6615971447467776
Spain,1963,0.140585988759995,0.155863487437244,0.5932522927933491,0.7984190634451808,0.4004574728112855,0.6720605515024763
Spain,1964,0.140585988759995,0.155863487437244,0.5932522927933491,0.8027619570493699,0.41216685432578826,0.6758333178945347
Spain,1965,0.140585988759995,0.155863487437244,0.5932522927933491,0.7821149549313954,0.37181010904025497,0.6628303619213655
Spain,1966,0.140585988759995,0.155863487437244,0.5932522927933491,0.7917576679161618,0.4197107723724202,0.6782639706523703
Spain,1967,0.140585988759995,0.155863487437244,0.5932522927933491,0.8075032172834172,0.44408336726825315,0.6861168283627767
Spain,1968,0.140585988759995,0.155863487437244,0.5932522927933491,0.80366976145241,0.4347444012007863,0.6831078105703106
Spain,1969,0.140585988759995,0.155863487437244,0.5932522927933491,0.8315724660368528,0.5005325078884024,0.7043047591538695
Spain,1970,0.140585988759995,0.155863487437244,0.5932522927933491,0.8398240296279682,0.5109689371029438,0.7076673799161147
Spain,1971,0.140585988759995,0.155863487437244,0.5932522927933491,0.8398675750941037,0.5177566740788272,0.7098543908960736
Spain,1972,0.140585988759995,0.155863487437244,0.5932522927933491,0.8343787482290556,0.519617699801239,0.7104540139668203
Spain,1973,0.140585988759995,0.155863487437244,0.5932522927933491,0.822867362839835,0.49621920054315016,0.7029150101760407
Spain,1974,0.140585988759995,0.155863487437244,0.5932522927933491,0.829138259677326,0.4914314643250426,0.7013724000667583
Spain,1975,0.140585988759995,0.155863487437244,0.5932522927933491,0.8316298229353768,0.49463552298529867,0.7024047487707975
Spain,1976,0.140585988759995,0.155863487437244,0.5932522927933491,0.8359980991908482,0.5064081578259091,0.7061978954043426
Spain,1977,0.890297830104828,0.807558912653883,0.8032287629485233,0.8499733227140763,0.5249966273502042,0.712187106108102
Spain,1978,0.957767963409424,0.976736352775882,0.8577377871524248,0.8352705385233905,0.5130740454298,0.7083456464784749
